id,weight,spec,outside
1,72,140p,0
2,88,110p,0
3,112,90p,0
4,180,60p,0
5,193,50p,0
6,121,80p,0
7,131,80p,0
8,174,60p,0
9,105,100p,0
10,123,80p,0
11,472,20p,0
12,639,15p,0
13,596,15p,0
14,78,130p,0
15,149,70p,0
16,98,100p,0
17,90,110p,0
18,67,150p,0
19,96,100p,0
20,650,15p,0
21,73,140p,0
22,106,90p,0
23,74,130p,0
24,344,30p,0
25,331,30p,0
26,227,45p,0
27,82,120p,0
28,98,100p,0
29,115,90p,0
30,199,50p,0
31,155,60p,0
32,67,150p,0
33,114,90p,0
34,115,90p,0
35,230,45p,0
36,125,80p,0
37,106,90p,0
38,137,70p,0
39,126,80p,0
40,94,110p,0
41,75,130p,0
42,372,25p,0
43,71,140p,0
44,73,140p,0
45,100,100p,0
46,96,100p,0
47,99,100p,0
48,341,30p,0
49,385,25p,0
50,719,,1
51,121,80p,0
52,94,110p,0
53,85,120p,0
54,103,100p,0
55,151,70p,0
56,338,30p,0
57,65,150p,0
58,112,90p,0
59,70,140p,0
60,837,,1
61,153,60p,0
62,124,80p,0
63,330,30p,0
64,180,60p,0
65,204,50p,0
66,127,80p,0
67,72,140p,0
68,341,30p,0
69,204,50p,0
70,66,150p,0
71,122,80p,0
72,207,50p,0
73,100,100p,0
74,71,140p,0
75,220,45p,0
76,245,40p,0
77,90,110p,0
78,214,45p,0
79,256,40p,0
80,281,35p,0
81,675,15p,0
82,625,15p,0
83,96,100p,0
84,315,30p,0
85,691,15p,0
86,85,120p,0
87,126,80p,0
88,79,130p,0
89,259,40p,0
90,426,25p,0
91,134,70p,0
92,128,80p,0
93,127,80p,0
94,174,60p,0
95,751,,1
96,548,20p,0
97,259,40p,0
98,152,70p,0
99,191,50p,0
100,114,90p,0
101,434,25p,0
102,252,40p,0
103,324,30p,0
104,66,150p,0
105,84,120p,0
106,71,140p,0
107,89,110p,0
108,115,90p,0
109,91,110p,0
110,77,130p,0
111,66,150p,0
112,477,20p,0
113,580,15p,0
114,104,100p,0
115,66,150p,0
116,296,35p,0
117,506,20p,0
118,159,60p,0
119,231,40p,0
120,564,20p,0
121,130,80p,0
122,165,60p,0
123,73,140p,0
124,523,20p,0
125,204,50p,0
126,663,15p,0
127,113,90p,0
128,302,35p,0
129,108,90p,0
130,80,120p,0
131,199,50p,0
132,113,90p,0
133,75,130p,0
134,227,45p,0
135,135,70p,0
136,233,40p,0
137,246,40p,0
138,502,20p,0
139,339,30p,0
140,138,70p,0
141,409,25p,0
142,87,110p,0
143,241,40p,0
144,105,100p,0
145,327,30p,0
146,585,15p,0
147,155,60p,0
148,131,80p,0
149,115,90p,0
150,636,15p,0
151,145,70p,0
152,267,35p,0
153,72,140p,0
154,108,90p,0
155,417,25p,0
156,151,70p,0
157,209,50p,0
158,164,60p,0
159,86,120p,0
160,395,25p,0
161,674,15p,0
162,150,70p,0
163,70,140p,0
164,100,100p,0
165,115,90p,0
166,142,70p,0
167,265,40p,0
168,66,150p,0
169,130,80p,0
170,204,50p,0
171,643,15p,0
172,244,40p,0
173,173,60p,0
174,79,130p,0
175,247,40p,0
176,113,90p,0
177,214,45p,0
178,95,110p,0
179,691,15p,0
180,700,15p,0
181,142,70p,0
182,234,40p,0
183,767,,1
184,215,45p,0
185,106,90p,0
186,78,130p,0
187,120,80p,0
188,408,25p,0
189,144,70p,0
190,268,35p,0
191,297,35p,0
192,91,110p,0
193,132,80p,0
194,87,110p,0
195,171,60p,0
196,272,35p,0
197,72,140p,0
198,106,90p,0
199,590,15p,0
200,91,110p,0
201,152,70p,0
202,305,35p,0
203,69,140p,0
204,300,35p,0
205,103,100p,0
206,99,100p,0
207,90,110p,0
208,83,120p,0
209,192,50p,0
210,70,140p,0
211,271,35p,0
212,364,30p,0
213,218,45p,0
214,110,90p,0
215,130,80p,0
216,309,30p,0
